TIME, LEFT DESIRED, LEFT ACTUAL, RIGHT DESIRED, RIGHT ACTUAL
7.01,0.00,-0.01,0.00,-0.01
0.01,0.00,-0.01,0.00,-0.01
0.02,0.00,-0.01,0.00,-0.01
0.03,0.00,-0.01,0.00,-0.01
0.03,0.00,-0.01,0.00,-0.01
0.04,0.00,-0.01,0.00,-0.01
0.05,0.00,-0.01,0.00,-0.01
0.05,0.00,-0.01,0.00,-0.01
0.06,0.00,-0.01,0.00,-0.01
0.07,0.00,-0.01,0.00,-0.01
0.08,0.00,-0.01,0.00,-0.01
0.08,0.00,-0.01,0.00,-0.01
0.09,0.00,-0.01,0.00,-0.01
0.10,0.00,-0.01,0.00,-0.01
0.11,0.00,-0.01,0.00,-0.01
0.11,0.00,-0.01,0.00,-0.01
0.12,0.00,-0.01,0.00,-0.01
0.13,0.00,-0.01,0.00,-0.01
0.13,0.00,-0.01,0.00,-0.01
0.14,0.00,-0.01,0.00,-0.01
0.15,0.00,-0.01,0.00,-0.01
0.16,0.00,-0.01,0.00,-0.01
0.17,0.00,-0.01,0.00,-0.01
0.17,0.00,-0.01,0.00,-0.01
0.18,0.00,-0.01,0.00,-0.01
0.19,0.00,-0.01,0.00,-0.01
0.19,0.00,-0.01,0.00,-0.01
0.20,0.00,-0.01,0.00,-0.01
0.21,0.00,-0.01,0.00,-0.01
0.22,0.00,-0.01,0.00,-0.01
0.22,0.00,-0.01,0.00,-0.01
0.23,0.00,-0.01,0.00,-0.01
0.24,0.00,-0.01,0.00,-0.01
0.24,0.00,-0.01,0.00,-0.01
0.25,0.00,-0.00,0.00,-0.01
0.26,0.00,-0.00,0.00,-0.01
0.27,0.00,-0.00,0.00,-0.01
0.27,0.00,-0.00,0.00,-0.01
0.28,0.00,-0.00,0.00,-0.01
0.29,0.00,-0.00,0.00,-0.01
0.30,0.00,-0.00,0.00,-0.01
0.30,0.00,-0.00,0.00,-0.01
0.31,0.00,-0.00,0.00,-0.01
0.32,0.00,-0.00,0.00,-0.01
0.32,0.00,-0.00,0.00,-0.01
0.33,0.00,-0.00,0.00,-0.00
0.34,0.00,-0.00,0.00,-0.00
0.35,0.00,-0.00,0.00,-0.00
0.35,0.00,-0.00,0.00,-0.00
0.36,0.00,-0.00,0.00,-0.00
0.37,0.00,-0.00,0.00,-0.00
0.38,0.00,-0.00,0.00,-0.00
0.38,0.00,-0.00,0.00,-0.00
0.39,0.00,-0.00,0.00,-0.00
0.40,0.00,-0.00,0.00,0.00
0.40,0.00,-0.00,0.00,0.00
0.41,0.00,-0.00,0.00,-0.00
0.42,0.00,-0.00,0.00,-0.00
0.43,0.00,-0.00,0.00,0.00
0.43,0.00,-0.00,0.00,0.00
0.44,0.00,-0.00,0.00,0.00
0.45,0.00,-0.00,0.00,-0.00
0.45,0.00,-0.00,0.00,0.00
0.46,0.00,-0.00,0.00,0.00
0.47,0.00,-0.00,0.00,0.00
0.48,0.00,-0.00,0.00,0.00
0.49,0.00,-0.00,0.00,0.00
0.49,0.00,-0.00,0.00,0.00
